EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class	Set	HelixDomain
Q12182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319			Negative	5	False
Q96NC0	Homo sapiens	Metazoa	199			Negative	3	False
Q58WW2	Homo sapiens	Metazoa	860			Negative	5	False
P32767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1081			Negative	1	False
P13280	Oryctolagus cuniculus	Metazoa	333			Negative	5	False
Q10222	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	670			Negative	4	False
Q9UNQ2	Homo sapiens	Metazoa	313			Negative	1	False
P0DPG3	Trypanosoma brucei brucei	Other	75			Negative	5	False
Q5SSW2	Mus musculus	Metazoa	1843			Negative	3	False
Q9UHX1	Homo sapiens	Metazoa	559			Negative	5	False
Q75WU1	Oryza sativa subsp. japonica	Viridiplantae	93			Negative	1	False
P41073	Drosophila melanogaster	Metazoa	716			Negative	5	False
Q6UL01	Mus musculus	Metazoa	79			Negative	3	False
Q91YE5	Mus musculus	Metazoa	1889			Negative	5	False
P15771	Gallus gallus	Metazoa	694			Negative	5	False
P39979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161			Negative	3	False
Q00922	Candida boidinii	Fungi	663			Negative	3	False
Q9LS24	Arabidopsis thaliana	Viridiplantae	292			Negative	4	False
Q11107	Caenorhabditis elegans	Metazoa	2248			Negative	5	False
Q9UHQ1	Homo sapiens	Metazoa	456			Negative	2	False
Q2LAE1	Arabidopsis thaliana	Viridiplantae	1759			Negative	1	False
Q9LXD6	Arabidopsis thaliana	Viridiplantae	773	1.0	23.0	Positive	1	
Q4FX73	Leishmania major	Other	264			Negative	4	False
Q9H875	Homo sapiens	Metazoa	184			Negative	4	False
Q9XIE2	Arabidopsis thaliana	Viridiplantae	1469			Negative	3	False
P36144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274			Negative	1	False
Q11184	Caenorhabditis elegans	Metazoa	425			Negative	2	False
O15514	Homo sapiens	Metazoa	142			Negative	2	False
Q8IDM6	Plasmodium falciparum (isolate 3D7)	Other	422			Negative	1	True
Q94126	Caenorhabditis elegans	Metazoa	211			Negative	1	False
G5EEU2	Caenorhabditis elegans	Metazoa	714			Negative	1	False
A4FUC0	Bos taurus	Metazoa	423			Negative	1	False
P12024	Drosophila melanogaster	Metazoa	1315	1.0	29.0	Positive	2	
Q7XA78	Arabidopsis thaliana	Viridiplantae	264			Negative	1	False
Q8CI15	Mus musculus	Metazoa	382			Negative	3	False
P06105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1222			Negative	5	False
Q8NC67	Homo sapiens	Metazoa	525	1.0	22.0	Positive	2	
O54724	Mus musculus	Metazoa	392			Negative	2	False
O74500	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	736			Negative	5	False
Q9BYI3	Homo sapiens	Metazoa	521			Negative	5	False
Q9D808	Mus musculus	Metazoa	123			Negative	2	True
Q9H0U6	Homo sapiens	Metazoa	180			Negative	3	False
Q9BRG1	Homo sapiens	Metazoa	176			Negative	4	False
Q9LEV3	Arabidopsis thaliana	Viridiplantae	206			Negative	1	False
Q90ZN1	Gallus gallus	Metazoa	177			Negative	4	True
P50896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	841			Negative	5	False
P25359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394			Negative	1	False
Q5TGZ0	Homo sapiens	Metazoa	78			Negative	4	True
P03069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	281			Negative	2	False
Q06991	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	263			Negative	1	True
P47174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117			Negative	3	False
Q5AP80	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	785			Negative	4	False
P48819	Sus scrofa	Metazoa	459	1.0	19.0	Positive	2	
Q9Y5Q5	Homo sapiens	Metazoa	1042			Negative	4	False
O62605	Galleria mellonella	Metazoa	218	1.0	16.0	Positive	1	
P30307	Homo sapiens	Metazoa	473			Negative	1	False
Q96DR8	Homo sapiens	Metazoa	90	1.0	20.0	Positive	4	
Q92733	Homo sapiens	Metazoa	491			Negative	4	False
Q95RV2	Drosophila melanogaster	Metazoa	345			Negative	4	False
Q91XT6	Mus musculus	Metazoa	489			Negative	1	False
P06803	Mus musculus	Metazoa	313			Negative	1	False
Q8BGW0	Mus musculus	Metazoa	636			Negative	1	False
P59665	Homo sapiens	Metazoa	94	1.0	19.0	Positive	4	
G5EG51	Caenorhabditis elegans	Metazoa	1270			Negative	4	False
O95833	Homo sapiens	Metazoa	236			Negative	2	True
A6NK89	Homo sapiens	Metazoa	507			Negative	3	False
P02774	Homo sapiens	Metazoa	474	1.0	16.0	Positive	1	
Q9VEN1	Drosophila melanogaster	Metazoa	2210			Negative	4	False
A8MTT3	Homo sapiens	Metazoa	80			Negative	5	True
O95415	Homo sapiens	Metazoa	125			Negative	5	True
C0HM98	Homo sapiens	Metazoa	186			Negative	4	False
Q9JHH9	Mus musculus	Metazoa	205			Negative	4	False
P82130	Spinacia oleracea	Viridiplantae	183			Negative	5	False
Q9H5Q4	Homo sapiens	Metazoa	396			Negative	3	False
Q12220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	943			Negative	5	False
Q8WXE1	Homo sapiens	Metazoa	791			Negative	2	False
O42978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	80			Negative	1	False
Q867W1	Procambarus clarkii	Metazoa	76	1.0	27.0	Positive	2	
Q08932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381			Negative	3	False
Q96BY6	Homo sapiens	Metazoa	2186			Negative	4	False
O55242	Mus musculus	Metazoa	223			Negative	1	True
Q09XV5	Mus musculus	Metazoa	2582			Negative	2	False
P36617	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	877			Negative	3	False
Q9USR9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	643			Negative	4	False
O14681	Homo sapiens	Metazoa	340			Negative	2	True
Q05921	Mus musculus	Metazoa	735			Negative	3	False
P47118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	141			Negative	3	False
Q9R085	Rattus norvegicus	Metazoa	952			Negative	4	False
Q9LKW9	Arabidopsis thaliana	Viridiplantae	1146			Negative	1	True
Q585P3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	524			Negative	4	False
P46422	Arabidopsis thaliana	Viridiplantae	212			Negative	4	False
P23515	Homo sapiens	Metazoa	440	1.0	24.0	Positive	4	
Q9SQU2	Arabidopsis thaliana	Viridiplantae	199			Negative	3	True
P62750	Homo sapiens	Metazoa	156			Negative	3	False
Q9SR70	Arabidopsis thaliana	Viridiplantae	230			Negative	5	False
Q8J0K5	Talaromyces funiculosus	Fungi	282	1.0	39.0	Positive	3	
Q9NZ81	Homo sapiens	Metazoa	148			Negative	2	False
Q9VEX5	Drosophila melanogaster	Metazoa	689			Negative	5	False
O94261	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220			Negative	4	False
P53859	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	292			Negative	2	False
Q8BUE4	Mus musculus	Metazoa	373			Negative	1	True
Q42876	Solanum lycopersicum	Viridiplantae	569			Negative	5	False
Q6PH85	Homo sapiens	Metazoa	259			Negative	5	False
Q9LXX5	Arabidopsis thaliana	Viridiplantae	262			Negative	4	False
E9Q5F9	Mus musculus	Metazoa	2537			Negative	4	False
Q811A2	Rattus norvegicus	Metazoa	172			Negative	2	False
Q9VH14	Drosophila melanogaster	Metazoa	210	1.0	27.0	Positive	4	
Q28989	Sus scrofa	Metazoa	421	1.0	26.0	Positive	4	
Q08444	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	459			Negative	5	False
Q20497	Caenorhabditis elegans	Metazoa	3498			Negative	4	False
O74429	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	920			Negative	1	False
Q86Y78	Homo sapiens	Metazoa	171	1.0	22.0	Positive	2	
E3SCZ8	Cavia porcellus	Metazoa	142			Negative	2	False
Q9GZL7	Homo sapiens	Metazoa	423			Negative	2	False
Q9ZVD0	Arabidopsis thaliana	Viridiplantae	720			Negative	2	False
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	1.0	20.0	Positive	3	
E1JH25	Drosophila melanogaster	Metazoa	1876			Negative	3	False
Q924L1	Mus musculus	Metazoa	360			Negative	1	False
Q9M903	Arabidopsis thaliana	Viridiplantae	479			Negative	1	False
Q86W26	Homo sapiens	Metazoa	655			Negative	5	False
Q9US26	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	351			Negative	3	False
Q00453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211			Negative	4	False
Q8NF50	Homo sapiens	Metazoa	2099			Negative	5	False
P17987	Homo sapiens	Metazoa	556			Negative	5	False
Q6PCT2	Homo sapiens	Metazoa	694			Negative	4	False
P53233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	369			Negative	5	False
Q15744	Homo sapiens	Metazoa	281			Negative	5	False
O82277	Arabidopsis thaliana	Viridiplantae	361			Negative	4	False
Q09715	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614			Negative	5	False
P32453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318			Negative	2	False
P25028	Drosophila melanogaster	Metazoa	696			Negative	3	False
P12198	Nicotiana tabacum	Viridiplantae	55			Negative	1	False
Q9SYJ8	Arabidopsis thaliana	Viridiplantae	372			Negative	3	False
Q08050	Homo sapiens	Metazoa	763			Negative	2	False
Q54XY4	Dictyostelium discoideum	Other	1582			Negative	1	False
Q8LPQ5	Arabidopsis thaliana	Viridiplantae	1254			Negative	5	False
O95997	Homo sapiens	Metazoa	202			Negative	4	False
O13816	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	962			Negative	4	False
Q92974	Homo sapiens	Metazoa	986			Negative	5	False
G5EGK5	Caenorhabditis elegans	Metazoa	928			Negative	4	False
Q9C516	Arabidopsis thaliana	Viridiplantae	848			Negative	4	False
P24792	Cucurbita maxima	Viridiplantae	579	1.0	30.0	Positive	5	
P20656	Saponaria officinalis	Viridiplantae	299	1.0	24.0	Positive	3	
P40228	Arabidopsis thaliana	Viridiplantae	287			Negative	3	False
Q8WYQ5	Homo sapiens	Metazoa	773			Negative	5	False
P57741	Arabidopsis thaliana	Viridiplantae	195			Negative	4	False
Q9LFP6	Arabidopsis thaliana	Viridiplantae	367			Negative	4	False
P45976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327			Negative	3	False
P53983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	676			Negative	4	True
Q8GXD9	Arabidopsis thaliana	Viridiplantae	644			Negative	2	False
P17937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249			Negative	4	False
Q08902	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	515			Negative	4	True
Q949J1	Chlamydomonas reinhardtii	Viridiplantae	192			Negative	4	False
P08375	Sarcophaga peregrina	Metazoa	63	1.0	23.0	Positive	1	
Q08816	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	343			Negative	4	False
B6HQN4	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	268			Negative	1	False
P48437	Mus musculus	Metazoa	737			Negative	1	False
P83869	Drosophila melanogaster	Metazoa	46	1.0	22.0	Positive	4	
Q9H008	Homo sapiens	Metazoa	270			Negative	1	False
Q96Q11	Homo sapiens	Metazoa	434			Negative	5	False
Q9NX47	Homo sapiens	Metazoa	278			Negative	4	False
Q8IWZ4	Homo sapiens	Metazoa	224			Negative	2	False
Q84JH7	Arabidopsis thaliana	Viridiplantae	225			Negative	1	False
P50077	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2039			Negative	2	False
Q14CX5	Homo sapiens	Metazoa	517			Negative	5	True
Q86SP6	Homo sapiens	Metazoa	731			Negative	4	False
Q7KZN9	Homo sapiens	Metazoa	410			Negative	4	True
Q9NRM6	Homo sapiens	Metazoa	502	1.0	17.0	Positive	2	
Q99J39	Mus musculus	Metazoa	492			Negative	4	False
O74944	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	547			Negative	5	False
Q84VQ4	Arabidopsis thaliana	Viridiplantae	218			Negative	2	False
Q96AY2	Homo sapiens	Metazoa	570			Negative	5	False
Q9NTZ6	Homo sapiens	Metazoa	932			Negative	4	False
Q24322	Drosophila melanogaster	Metazoa	899			Negative	5	True
P82931	Bos taurus	Metazoa	124			Negative	3	False
Q9H410	Homo sapiens	Metazoa	356			Negative	1	False
P39946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494			Negative	4	False
P16522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	626			Negative	2	False
Q9Z2F6	Mus musculus	Metazoa	448			Negative	3	False
P37263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153			Negative	2	False
Q9UT72	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	205			Negative	5	False
P47910	Spinacia oleracea	Viridiplantae	101			Negative	4	False
P34241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1764			Negative	1	False
Q8H0V4	Arabidopsis thaliana	Viridiplantae	722			Negative	2	False
A0FGR9	Homo sapiens	Metazoa	886			Negative	2	True
Q9VAB8	Drosophila melanogaster	Metazoa	457			Negative	1	False
P19824	Chlamydomonas reinhardtii	Viridiplantae	375			Negative	5	False
Q18508	Caenorhabditis elegans	Metazoa	1784			Negative	1	False
Q68D91	Homo sapiens	Metazoa	279			Negative	2	False
P55000	Homo sapiens	Metazoa	103	1.0	22.0	Positive	3	
Q9P7S6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	274			Negative	2	False
P27680	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312			Negative	1	False
P23180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465			Negative	4	False
Q92262	Komagataella pastoris	Fungi	455			Negative	5	False
Q8R4N0	Mus musculus	Metazoa	338			Negative	1	False
Q15003	Homo sapiens	Metazoa	741			Negative	3	False
P19407	Spinacia oleracea	Viridiplantae	62			Negative	2	True
Q9VWE6	Drosophila melanogaster	Metazoa	2111			Negative	4	False
Q9VV87	Drosophila melanogaster	Metazoa	316			Negative	2	True
O74461	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	235			Negative	2	False
Q9XIK0	Arabidopsis thaliana	Viridiplantae	179			Negative	5	False
Q5WRN1	Caenorhabditis elegans	Metazoa	301			Negative	2	True
Q0VDF9	Homo sapiens	Metazoa	509			Negative	3	False
Q8NGU9	Homo sapiens	Metazoa	434			Negative	3	False
Q69YH5	Homo sapiens	Metazoa	1023			Negative	3	False
P21135	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301			Negative	5	False
Q8WVY7	Homo sapiens	Metazoa	318			Negative	4	False
Q9URT8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	111			Negative	5	False
Q9CQ91	Mus musculus	Metazoa	84			Negative	1	True
P05164	Homo sapiens	Metazoa	745	1.0	48.0	Positive	4	
P49435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187			Negative	5	False
Q8VZS3	Arabidopsis thaliana	Viridiplantae	354			Negative	3	False
Q9H1Z4	Homo sapiens	Metazoa	485			Negative	3	False
Q9C000	Homo sapiens	Metazoa	1473			Negative	4	False
F4HU58	Arabidopsis thaliana	Viridiplantae	420			Negative	3	False
O15504	Homo sapiens	Metazoa	423			Negative	4	False
O22920	Arabidopsis thaliana	Viridiplantae	831			Negative	2	True
Q8H1U5	Arabidopsis thaliana	Viridiplantae	865			Negative	2	False
Q9ASX5	Arabidopsis thaliana	Viridiplantae	540			Negative	1	False
A2A288	Homo sapiens	Metazoa	527			Negative	5	False
Q3MIR4	Homo sapiens	Metazoa	351			Negative	5	True
P35731	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278			Negative	5	False
P78524	Homo sapiens	Metazoa	1137			Negative	1	False
Q9URQ5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	78			Negative	2	False
Q5BLX8	Rattus norvegicus	Metazoa	315			Negative	2	False
Q6A028	Mus musculus	Metazoa	585			Negative	2	False
Q12180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1030			Negative	4	False
O13915	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	265			Negative	3	False
Q9M7N6	Solanum lycopersicum	Viridiplantae	152			Negative	1	False
Q7TS63	Mus musculus	Metazoa	1237			Negative	5	False
Q9U8X3	Tachypleus tridentatus	Metazoa	67	1.0	23.0	Positive	4	
Q9UTQ4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244			Negative	3	False
P40160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	425			Negative	5	False
Q9GZR1	Homo sapiens	Metazoa	1112			Negative	3	False
Q9C5S1	Arabidopsis thaliana	Viridiplantae	784			Negative	4	False
Q03330	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	439			Negative	3	False
Q41161	Robinia pseudoacacia	Viridiplantae	285	1.0	31.0	Positive	3	
