EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	1	22	Positive
Q53B52	Ophiophagus hannah	Metazoa	78	1	21	Positive
P29320	Homo sapiens	Metazoa	983	1	20	Positive
Q9YGN5	Gloydius brevicauda	Metazoa	154	1	23	Positive
P01593	Homo sapiens	Metazoa	117	1	22	Positive
P02872	Arachis hypogaea	Viridiplantae	273	1	23	Positive
Q696W1	Macrovipera lebetinus	Metazoa	158	1	23	Positive
Q02471	Daboia siamensis	Metazoa	138	1	16	Positive
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	1	18	Positive
Q8NCC3	Homo sapiens	Metazoa	412	1	33	Positive
P10354	Rattus norvegicus	Metazoa	466	1	18	Positive
Q64610	Rattus norvegicus	Metazoa	887	1	27	Positive
P09462	Ovis aries	Metazoa	142	1	19	Positive
Q15848	Homo sapiens	Metazoa	244	1	18	Positive
P09341	Homo sapiens	Metazoa	107	1	34	Positive
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	1	19	Positive
P52193	Bos taurus	Metazoa	417	1	17	Positive
Q9Y279	Homo sapiens	Metazoa	399	1	19	Positive
O54766	Rattus norvegicus	Metazoa	617	1	20	Positive
O75556	Homo sapiens	Metazoa	95	1	18	Positive
P0C292	Androctonus crassicauda	Metazoa	80	1	22	Positive
P06859	Protobothrops flavoviridis	Metazoa	138	1	16	Positive
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	1	24	Positive
P56526	Aspergillus niger	Fungi	985	1	25	Positive
P0DML3	Homo sapiens	Metazoa	217	1	26	Positive
P12706	Xenopus laevis	Metazoa	106	1	23	Positive
P14946	Lolium perenne	Viridiplantae	263	1	23	Positive
P56742	Crotalus atrox	Metazoa	516	1	18	Positive
Q63372	Rattus norvegicus	Metazoa	1530	1	30	Positive
P01480	Androctonus australis	Metazoa	84	1	19	Positive
P61916	Homo sapiens	Metazoa	151	1	19	Positive
P00714	Rattus norvegicus	Metazoa	159	1	19	Positive
B2NHN2	Talaromyces funiculosus	Fungi	339	1	20	Positive
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	1	33	Positive
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	1	18	Positive
A7VN15	Protobothrops flavoviridis	Metazoa	79	1	19	Positive
P01218	Ovis aries	Metazoa	120	1	24	Positive
P01302	Bos taurus	Metazoa	131	1	29	Positive
Q96TU3	Aspergillus awamori	Fungi	537	1	19	Positive
P20334	Mus musculus	Metazoa	256	1	23	Positive
P09955	Sus scrofa	Metazoa	416	1	15	Positive
P01443	Naja atra	Metazoa	81	1	21	Positive
P10820	Mus musculus	Metazoa	554	1	20	Positive
Q07CZ7	Lutzomyia longipalpis	Metazoa	397	1	18	Positive
P04916	Rattus norvegicus	Metazoa	201	1	18	Positive
Q9BZW8	Homo sapiens	Metazoa	370	1	21	Positive
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	1	19	Positive
I2G9B4	Macrovipera lebetina transmediterranea	Metazoa	95	1	24	Positive
M5AXY1	Felis catus	Metazoa	201	1	18	Positive
P82818	Bombyx mori	Metazoa	66	1	24	Positive
P35052	Homo sapiens	Metazoa	558	1	23	Positive
Q6IUU3	Rattus norvegicus	Metazoa	750	1	32	Positive
Q9LYF6	Arabidopsis thaliana	Viridiplantae	61	1	22	Positive
Q9U8D1	Olivierus martensii	Metazoa	56	1	28	Positive
Q9BX59	Homo sapiens	Metazoa	468	1	18	Positive
A2CKF7	Bungarus fasciatus	Metazoa	86	1	21	Positive
Q90611	Gallus gallus	Metazoa	663	1	26	Positive
P84296	Chironomus thummi thummi	Metazoa	161	1	16	Positive
P0C293	Androctonus crassicauda	Metazoa	80	1	22	Positive
P21611	Gallus gallus	Metazoa	119	1	21	Positive
Q9NL89	Bombyx mori	Metazoa	495	1	16	Positive
P01346	Rattus norvegicus	Metazoa	180	1	24	Positive
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	1	18	Positive
P11226	Homo sapiens	Metazoa	248	1	20	Positive
P51688	Homo sapiens	Metazoa	502	1	20	Positive
P22323	Cavia porcellus	Metazoa	410	1	24	Positive
P13504	Mus musculus	Metazoa	576	1	19	Positive
P11941	Oncorhynchus mykiss	Metazoa	144	1	15	Positive
Q9YGP1	Trimeresurus stejnegeri	Metazoa	158	1	23	Positive
P19134	Oryctolagus cuniculus	Metazoa	695	1	19	Positive
Q95VE9	Epiphyas postvittana	Metazoa	164	1	23	Positive
P01303	Homo sapiens	Metazoa	97	1	28	Positive
P80513	Bos taurus	Metazoa	179	1	21	Positive
P01404	Dendroaspis angusticeps	Metazoa	81	1	21	Positive
O95813	Homo sapiens	Metazoa	267	1	17	Positive
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	1	26	Positive
Q91Z98	Mus musculus	Metazoa	402	1	21	Positive
P61769	Homo sapiens	Metazoa	119	1	20	Positive
P35625	Homo sapiens	Metazoa	211	1	23	Positive
Q8MM24	Drosophila melanogaster	Metazoa	439	1	20	Positive
P81446	Viscum album	Viridiplantae	564	1	33	Positive
P18829	Schistocerca gregaria	Metazoa	63	1	22	Positive
P58294	Homo sapiens	Metazoa	105	1	19	Positive
P39873	Bos taurus	Metazoa	167	1	26	Positive
P13671	Homo sapiens	Metazoa	934	1	21	Positive
Q9BKB7	Mesobuthus eupeus	Metazoa	57	1	21	Positive
P07597	Hordeum vulgare	Viridiplantae	117	1	26	Positive
P02675	Homo sapiens	Metazoa	491	1	30	Positive
P48816	Bombyx mori	Metazoa	137	1	18	Positive
Q6UWI2	Homo sapiens	Metazoa	310	1	20	Positive
P01715	Homo sapiens	Metazoa	115	1	20	Positive
Q9SR37	Arabidopsis thaliana	Viridiplantae	524	1	24	Positive
Q7ZTA7	Crotalus lutosus abyssus	Metazoa	138	1	16	Positive
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	1	20	Positive
Q7ZTA6	Crotalus viridis viridis	Metazoa	138	1	16	Positive
P29064	Candida tsukubaensis	Fungi	1070	1	35	Positive
P07596	Hordeum vulgare	Viridiplantae	203	1	22	Positive
P19633	Rattus norvegicus	Metazoa	406	1	34	Positive
P02787	Homo sapiens	Metazoa	698	1	19	Positive
P22455	Homo sapiens	Metazoa	802	1	21	Positive
Q10746	Rattus norvegicus	Metazoa	101	1	32	Positive
Q61001	Mus musculus	Metazoa	3718	1	40	Positive
P24854	Sus scrofa	Metazoa	259	1	22	Positive
P01076	Solanum lycopersicum	Viridiplantae	77	1	32	Positive
P82290	Anopheles gambiae	Metazoa	58	1	23	Positive
Q78CF9	Notechis ater	Metazoa	200	1	19	Positive
P55083	Homo sapiens	Metazoa	255	1	21	Positive
Q63617	Rattus norvegicus	Metazoa	999	1	32	Positive
O00100	Aspergillus terreus	Fungi	466	1	19	Positive
P34174	Bombyx mori	Metazoa	164	1	22	Positive
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	1	17	Positive
P00702	Phasianus colchicus colchicus	Metazoa	147	1	17	Positive
Q00802	Bombyx mori	Metazoa	256	1	17	Positive
O08795	Mus musculus	Metazoa	521	1	14	Positive
P33185	Bryonia dioica	Viridiplantae	290	1	23	Positive
Q9BX93	Homo sapiens	Metazoa	195	1	19	Positive
P01236	Homo sapiens	Metazoa	227	1	28	Positive
P34207	Rattus norvegicus	Metazoa	223	1	28	Positive
P02754	Bos taurus	Metazoa	178	1	16	Positive
A0A2I8B353	Paralithodes camtschaticus	Metazoa	76	1	23	Positive
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	1	24	Positive
P67788	Manduca sexta	Metazoa	65	1	19	Positive
P02666	Bos taurus	Metazoa	224	1	15	Positive
P16444	Homo sapiens	Metazoa	411	1	16	Positive
P41361	Bos taurus	Metazoa	465	1	32	Positive
Q7T2Q1	Echis multisquamatus	Metazoa	157	1	23	Positive
Q01584	Rhinella marina	Metazoa	183	1	20	Positive
P0DJI9	Homo sapiens	Metazoa	122	1	18	Positive
Q99435	Homo sapiens	Metazoa	816	1	21	Positive
P36222	Homo sapiens	Metazoa	383	1	21	Positive
O93233	Gloydius brevicaudus siniticus	Metazoa	331	1	23	Positive
Q969H8	Homo sapiens	Metazoa	173	1	31	Positive
Q9P0V8	Homo sapiens	Metazoa	285	1	22	Positive
P81827	Rattus norvegicus	Metazoa	101	1	21	Positive
B2KNH9	Dendrobium findlayanum	Viridiplantae	167	1	24	Positive
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	1	27	Positive
Q01129	Rattus norvegicus	Metazoa	354	1	16	Positive
P0C194	Opisthacanthus madagascariensis	Metazoa	63	1	21	Positive
Q90W39	Protobothrops mucrosquamatus	Metazoa	138	1	16	Positive
P22394	Geotrichum candidum	Fungi	563	1	19	Positive
Q13145	Homo sapiens	Metazoa	260	1	20	Positive
P45881	Bothrops jararacussu	Metazoa	138	1	16	Positive
Q9HE18	Talaromyces funiculosus	Fungi	353	1	18	Positive
P35441	Mus musculus	Metazoa	1170	1	18	Positive
Q01638	Homo sapiens	Metazoa	556	1	18	Positive
P18329	Dendroaspis angusticeps	Metazoa	80	1	21	Positive
Q8I034	Felis catus	Metazoa	545	1	28	Positive
A4LAR6	Grifola frondosa	Fungi	107	1	24	Positive
P10813	Aquarana catesbeiana	Metazoa	215	1	25	Positive
P09923	Homo sapiens	Metazoa	528	1	19	Positive
Q4LCT0	Androctonus australis	Metazoa	80	1	22	Positive
Q95VF0	Epiphyas postvittana	Metazoa	164	1	23	Positive
Q9XY87	Olivierus martensii	Metazoa	85	1	21	Positive
P04439	Homo sapiens	Metazoa	365	1	24	Positive
P15529	Homo sapiens	Metazoa	392	1	34	Positive
P30988	Homo sapiens	Metazoa	474	1	24	Positive
O14786	Homo sapiens	Metazoa	923	1	21	Positive
Q9GQV7	Aedes aegypti	Metazoa	128	1	22	Positive
P09466	Homo sapiens	Metazoa	180	1	18	Positive
Q95NJ8	Olivierus martensii	Metazoa	55	1	23	Positive
P45628	Leiurus hebraeus	Metazoa	59	1	22	Positive
P86009	Dromaius novaehollandiae	Metazoa	238	1	17	Positive
P08887	Homo sapiens	Metazoa	468	1	19	Positive
P42264	Rattus norvegicus	Metazoa	919	1	31	Positive
Q86IV5	Dictyostelium discoideum	Other	258	1	21	Positive
Q12546	Aspergillus ficuum	Fungi	614	1	22	Positive
Q41162	Robinia pseudoacacia	Viridiplantae	285	1	31	Positive
Q09098	Mus musculus	Metazoa	99	1	23	Positive
Q13445	Homo sapiens	Metazoa	227	1	23	Positive
Q9XIV8	Nicotiana tabacum	Viridiplantae	330	1	29	Positive
P13744	Cucurbita maxima	Viridiplantae	480	1	21	Positive
Q9PUB7	Micrurus corallinus	Metazoa	78	1	21	Positive
Q86LE5	Rhipicephalus microplus	Metazoa	110	1	20	Positive
P02743	Homo sapiens	Metazoa	223	1	19	Positive
O88188	Mus musculus	Metazoa	162	1	19	Positive
Q71QE8	Crotalus viridis viridis	Metazoa	138	1	16	Positive
P01189	Homo sapiens	Metazoa	267	1	26	Positive
Q9U8X3	Tachypleus tridentatus	Metazoa	67	1	23	Positive
O08523	Mus musculus	Metazoa	2155	1	24	Positive
Q8H6Q0	Petunia hybrida	Viridiplantae	101	1	25	Positive
Q15762	Homo sapiens	Metazoa	336	1	18	Positive
O93364	Crotalus adamanteus	Metazoa	516	1	18	Positive
P02879	Ricinus communis	Viridiplantae	576	1	35	Positive
P79263	Sus scrofa	Metazoa	921	1	27	Positive
P16094	Momordica charantia	Viridiplantae	286	1	23	Positive
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	1	21	Positive
P19034	Bos taurus	Metazoa	101	1	22	Positive
O42807	Aspergillus niger	Fungi	281	1	21	Positive
P97515	Meriones unguiculatus	Metazoa	348	1	18	Positive
P02790	Homo sapiens	Metazoa	462	1	23	Positive
Q9VMD9	Drosophila melanogaster	Metazoa	2188	1	18	Positive
Q969J5	Homo sapiens	Metazoa	263	1	21	Positive
F0UZ12	Cavia porcellus	Metazoa	170	1	15	Positive
P0DN86	Homo sapiens	Metazoa	165	1	20	Positive
Q9R1T7	Rattus norvegicus	Metazoa	200	1	20	Positive
P01364	Aplysia californica	Metazoa	108	1	23	Positive
P55955	Caenorhabditis elegans	Metazoa	132	1	19	Positive
P81294	Juniperus ashei	Viridiplantae	367	1	21	Positive
P40967	Homo sapiens	Metazoa	661	1	24	Positive
Q7ZZN9	Protobothrops jerdonii	Metazoa	240	1	19	Positive
P08751	Equus caballus	Metazoa	169	1	20	Positive
P40199	Homo sapiens	Metazoa	344	1	34	Positive
P01572	Mus musculus	Metazoa	189	1	23	Positive
P13691	Hordeum vulgare	Viridiplantae	152	1	30	Positive
O18998	Oryctolagus cuniculus	Metazoa	281	1	21	Positive
Q9S7Y7	Arabidopsis thaliana	Viridiplantae	915	1	27	Positive
Q8T4J9	Manduca sexta	Metazoa	180	1	15	Positive
Q9BXJ0	Homo sapiens	Metazoa	243	1	15	Positive
P85196	Lonomia obliqua	Metazoa	183	1	15	Positive
Q9XFS7	Arabidopsis thaliana	Viridiplantae	118	1	25	Positive
P42255	Aspergillus niger	Fungi	499	1	18	Positive
P01299	Canis lupus familiaris	Metazoa	93	1	29	Positive
P00712	Capra hircus	Metazoa	142	1	19	Positive
Q0P569	Bos taurus	Metazoa	474	1	24	Positive
Q00193	Oryctolagus cuniculus	Metazoa	540	1	24	Positive
Q8WZI8	Aspergillus niger	Fungi	521	1	17	Positive
Q0IQK9	Oryza sativa subsp. japonica	Viridiplantae	116	1	25	Positive
O95407	Homo sapiens	Metazoa	300	1	29	Positive
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	1	51	Positive
P26203	Oryctolagus cuniculus	Metazoa	137	1	20	Positive
Q8JFX7	Bungarus multicinctus	Metazoa	103	1	21	Positive
P00688	Mus musculus	Metazoa	508	1	15	Positive
P31419	Manduca sexta	Metazoa	161	1	20	Positive
P02761	Rattus norvegicus	Metazoa	181	1	19	Positive
P26202	Oryctolagus cuniculus	Metazoa	137	1	20	Positive
P23806	Protobothrops flavoviridis	Metazoa	152	1	23	Positive
P04421	Bos taurus	Metazoa	147	1	18	Positive
Q8L9T8	Arabidopsis thaliana	Viridiplantae	63	1	27	Positive
Q8UUG2	Morone chrysops	Metazoa	79	1	22	Positive
Q8T113	Bombyx mori	Metazoa	227	1	17	Positive
P30922	Bos taurus	Metazoa	383	1	21	Positive
P12729	Dictyostelium discoideum	Other	168	1	19	Positive
P01086	Hordeum vulgare	Viridiplantae	148	1	24	Positive
P01005	Gallus gallus	Metazoa	210	1	24	Positive
Q99467	Homo sapiens	Metazoa	661	1	23	Positive
Q64424	Myocastor coypus	Metazoa	470	1	18	Positive
P04557	Bos taurus	Metazoa	140	1	25	Positive
P01824	Homo sapiens	Metazoa	125	1	26	Positive
P52823	Homo sapiens	Metazoa	247	1	17	Positive
P01019	Homo sapiens	Metazoa	476	1	24	Positive
P10675	Schistocerca americana	Metazoa	662	1	24	Positive
P10522	Bos taurus	Metazoa	248	1	28	Positive
P0DPU3	Scolopendra dehaani	Metazoa	577	1	25	Positive
Q8TD06	Homo sapiens	Metazoa	166	1	21	Positive
P02782	Rattus norvegicus	Metazoa	111	1	23	Positive
P13725	Homo sapiens	Metazoa	252	1	25	Positive
P25942	Homo sapiens	Metazoa	277	1	20	Positive
Q8JGT7	Protobothrops mucrosquamatus	Metazoa	158	1	23	Positive
P01325	Mus musculus	Metazoa	108	1	24	Positive
Q6H3D4	Trimeresurus stejnegeri	Metazoa	138	1	16	Positive
P04217	Homo sapiens	Metazoa	495	1	21	Positive
P0DSJ6	Myrmecia gulosa	Metazoa	62	1	24	Positive
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi	358	1	18	Positive
P83326	Actinidia deliciosa	Viridiplantae	185	1	32	Positive
P29022	Zea mays	Viridiplantae	280	1	25	Positive
B7SNV8	Parabuthus granulatus	Metazoa	82	1	19	Positive
Q6JK69	Bothrops atrox	Metazoa	138	1	16	Positive
Q02809	Homo sapiens	Metazoa	727	1	18	Positive
O02839	Sus scrofa	Metazoa	363	1	44	Positive
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	1	28	Positive
P15018	Homo sapiens	Metazoa	202	1	22	Positive
P05117	Solanum lycopersicum	Viridiplantae	457	1	24	Positive
P48096	Salmo salar	Metazoa	210	1	23	Positive
A8QL52	Bungarus fasciatus	Metazoa	517	1	19	Positive
P52798	Homo sapiens	Metazoa	201	1	25	Positive
P86929	Metaphire guillelmi	Metazoa	73	1	14	Positive
P01015	Rattus norvegicus	Metazoa	477	1	24	Positive
Q28143	Bos taurus	Metazoa	456	1	35	Positive
P55773	Homo sapiens	Metazoa	120	1	21	Positive
P97710	Rattus norvegicus	Metazoa	509	1	31	Positive
O95994	Homo sapiens	Metazoa	175	1	20	Positive
P37042	Gallus gallus	Metazoa	92	1	23	Positive
P01833	Homo sapiens	Metazoa	764	1	18	Positive
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	1	26	Positive
P07994	Bos taurus	Metazoa	360	1	17	Positive
P01317	Bos taurus	Metazoa	105	1	24	Positive
P02656	Homo sapiens	Metazoa	99	1	20	Positive
P49755	Homo sapiens	Metazoa	219	1	31	Positive
P20933	Homo sapiens	Metazoa	346	1	23	Positive
P02727	Canis lupus familiaris	Metazoa	129	1	17	Positive
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	1	20	Positive
P00713	Cavia porcellus	Metazoa	142	1	19	Positive
P04706	Zea mays	Viridiplantae	223	1	19	Positive
P82144	Gloydius brevicaudus siniticus	Metazoa	200	1	19	Positive
Q99538	Homo sapiens	Metazoa	433	1	17	Positive
P35807	Schistocerca nitens	Metazoa	61	1	22	Positive
Q5WPU9	Lutzomyia longipalpis	Metazoa	399	1	18	Positive
Q8QGR0	Dendroaspis angusticeps	Metazoa	86	1	21	Positive
P20959	Bos taurus	Metazoa	291	1	27	Positive
P27797	Homo sapiens	Metazoa	417	1	17	Positive
Q9ZT66	Zea mays	Viridiplantae	303	1	43	Positive
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	1	20	Positive
Q8MTX2	Opisthacanthus madagascariensis	Metazoa	71	1	23	Positive
P26776	Sus scrofa	Metazoa	153	1	20	Positive
P01229	Homo sapiens	Metazoa	141	1	20	Positive
P0DUT0	Doratifera vulnerans	Metazoa	46	1	19	Positive
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	1	21	Positive
Q7SZI7	Xenopus laevis	Metazoa	1219	1	22	Positive
Q7T1K6	Naja atra	Metazoa	239	1	18	Positive
P01597	Homo sapiens	Metazoa	117	1	22	Positive
P34998	Homo sapiens	Metazoa	415	1	23	Positive
Q8N441	Homo sapiens	Metazoa	504	1	24	Positive
Q05186	Mus musculus	Metazoa	325	1	23	Positive
Q02567	Phanerodontia chrysosporium	Fungi	378	1	21	Positive
Q53B59	Ophiophagus hannah	Metazoa	91	1	21	Positive
G1CWH8	Clitoria ternatea	Viridiplantae	123	1	28	Positive
P02701	Gallus gallus	Metazoa	152	1	24	Positive
P14133	Cucumis sativus	Viridiplantae	587	1	33	Positive
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	1	25	Positive
Q6UWE3	Homo sapiens	Metazoa	100	1	21	Positive
Q96318	Arabidopsis thaliana	Viridiplantae	524	1	23	Positive
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	1	22	Positive
P02866	Canavalia ensiformis	Viridiplantae	290	1	29	Positive
E0D877	Aedes albopictus	Metazoa	564	1	25	Positive
P18709	Xenopus laevis	Metazoa	1807	1	15	Positive
P01246	Bos taurus	Metazoa	217	1	26	Positive
P68248	Gallus gallus	Metazoa	80	1	25	Positive
Q8AV98	Protobothrops flavoviridis	Metazoa	148	1	23	Positive
Q8UVU7	Cerrophidion godmani	Metazoa	137	1	16	Positive
P59938	Olivierus martensii	Metazoa	57	1	21	Positive
P80162	Homo sapiens	Metazoa	114	1	37	Positive
P19883	Homo sapiens	Metazoa	344	1	29	Positive
Q15465	Homo sapiens	Metazoa	462	1	23	Positive
Q95JC9	Sus scrofa	Metazoa	676	1	16	Positive
P05155	Homo sapiens	Metazoa	500	1	22	Positive
P10619	Homo sapiens	Metazoa	480	1	28	Positive
P18684	Protophormia terraenovae	Metazoa	101	1	18	Positive
P62931	Pisum sativum	Viridiplantae	130	1	26	Positive
Q5NAT0	Oryza sativa subsp. japonica	Viridiplantae	640	1	34	Positive
O00300	Homo sapiens	Metazoa	401	1	21	Positive
P32760	Gallus gallus	Metazoa	165	1	30	Positive
P81828	Rattus norvegicus	Metazoa	101	1	21	Positive
P28325	Homo sapiens	Metazoa	142	1	20	Positive
Q09332	Drosophila melanogaster	Metazoa	1548	1	22	Positive
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	1	24	Positive
P12068	Sus scrofa	Metazoa	146	1	18	Positive
Q9UVI4	Claviceps fusiformis	Fungi	394	1	16	Positive
O64392	Triticum aestivum	Viridiplantae	146	1	21	Positive
Q8TCT8	Homo sapiens	Metazoa	520	1	25	Positive
Q53B47	Ophiophagus hannah	Metazoa	78	1	21	Positive
P02659	Gallus gallus	Metazoa	106	1	24	Positive
Q7YT16	Musca domestica	Metazoa	141	1	19	Positive
P01295	Gallus gallus	Metazoa	164	1	27	Positive
P06399	Rattus norvegicus	Metazoa	782	1	19	Positive
Q8WMP9	Bos taurus	Metazoa	407	1	29	Positive
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	1	16	Positive
P35541	Bos taurus	Metazoa	130	1	18	Positive
Q42502	Solanum tuberosum	Viridiplantae	386	1	23	Positive
P15309	Homo sapiens	Metazoa	386	1	32	Positive
P10152	Bos taurus	Metazoa	148	1	23	Positive
P08174	Homo sapiens	Metazoa	381	1	34	Positive
P55000	Homo sapiens	Metazoa	103	1	22	Positive
Q9DEA1	Deinagkistrodon acutus	Metazoa	146	1	23	Positive
Q8HY17	Sus scrofa	Metazoa	140	1	26	Positive
Q8T9R8	Stomoxys calcitrans	Metazoa	67	1	24	Positive
P54107	Homo sapiens	Metazoa	249	1	21	Positive
Q9Y251	Homo sapiens	Metazoa	543	1	35	Positive
Q9HGE1	Humicola insolens	Fungi	227	1	36	Positive
Q9H1E1	Homo sapiens	Metazoa	156	1	28	Positive
P23284	Homo sapiens	Metazoa	216	1	33	Positive
O60449	Homo sapiens	Metazoa	1722	1	27	Positive
P35859	Rattus norvegicus	Metazoa	603	1	23	Positive
P19427	Bos taurus	Metazoa	201	1	18	Positive
P60301	Naja atra	Metazoa	81	1	21	Positive
Q9Z0K8	Mus musculus	Metazoa	512	1	23	Positive
P08989	Canis lupus familiaris	Metazoa	146	1	23	Positive
P06213	Homo sapiens	Metazoa	1382	1	27	Positive
P16882	Mus musculus	Metazoa	650	1	24	Positive
Q16663	Homo sapiens	Metazoa	113	1	21	Positive
Q99217	Homo sapiens	Metazoa	191	1	16	Positive
Q62632	Rattus norvegicus	Metazoa	306	1	18	Positive
Q06KA2	Phlebotomus duboscqi	Metazoa	249	1	19	Positive
P07380	Equus caballus	Metazoa	181	1	18	Positive
W5XCJ6	Macrovipera lebetinus	Metazoa	154	1	23	Positive
P11151	Bos taurus	Metazoa	478	1	28	Positive
P09237	Homo sapiens	Metazoa	267	1	17	Positive
P02808	Homo sapiens	Metazoa	62	1	19	Positive
Q8NBP7	Homo sapiens	Metazoa	692	1	30	Positive
P11912	Homo sapiens	Metazoa	226	1	32	Positive
Q42372	Robinia pseudoacacia	Viridiplantae	286	1	31	Positive
P0DJJ9	Protobothrops flavoviridis	Metazoa	138	1	16	Positive
P12273	Homo sapiens	Metazoa	146	1	28	Positive
P10761	Mus musculus	Metazoa	424	1	22	Positive
P79208	Ovis aries	Metazoa	603	1	16	Positive
P09586	Mus musculus	Metazoa	222	1	31	Positive
O55245	Crocodylus porosus	Metazoa	150	1	20	Positive
Q99MG7	Mesocricetus auratus	Metazoa	172	1	16	Positive
P15497	Bos taurus	Metazoa	265	1	18	Positive
P0C1B3	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	499	1	21	Positive
P10669	Sus scrofa	Metazoa	344	1	29	Positive
P29392	Bos taurus	Metazoa	134	1	20	Positive
Q95VP2	Epiphyas postvittana	Metazoa	161	1	20	Positive
P01036	Homo sapiens	Metazoa	141	1	20	Positive
Q16602	Homo sapiens	Metazoa	461	1	22	Positive
P0CZ17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	1	25	Positive
